Price,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
2026-03-16 13:30:00+00:00,,253.2357940673828,209.59500122070312,304.310302734375,632.1500244140625,,253.58999633789062,210.13999938964844,305.57000732421875,634.739990234375,,249.91000366210938,207.44500732421875,302.4849853515625,625.7999877929688,,252.10499572753906,208.35000610351562,303.5,632.0,,4604631,5951335,2549254,5389646,
2026-03-16 14:30:00+00:00,,253.01499938964844,209.3699951171875,302.9798889160156,629.1799926757812,,253.88499450683594,209.61000061035156,304.3399963378906,632.0900268554688,,252.9199981689453,208.36000061035156,302.20001220703125,627.0900268554688,,253.22000122070312,209.61000061035156,304.3349914550781,632.0900268554688,,2784630,2934524,1156989,0,
2026-03-16 15:30:00+00:00,,252.36500549316406,208.8415985107422,302.0,623.719970703125,,253.5399932861328,209.66000366210938,303.3475036621094,630.0,,252.20010375976562,208.62989807128906,301.80999755859375,623.1004028320312,,253.00999450683594,209.36000061035156,303.1099853515625,629.1500244140625,,1738509,2005757,739732,968008,
2026-03-16 16:30:00+00:00,,252.92999267578125,209.88999938964844,303.32000732421875,625.5,,253.3300018310547,210.1300048828125,303.67999267578125,627.030029296875,,252.1999969482422,208.63999938964844,301.8900146484375,623.3049926757812,,252.35000610351562,208.86000061035156,302.0199890136719,623.7849731445312,,1437485,2378548,768318,3916268,
2026-03-16 17:30:00+00:00,,252.9199981689453,211.00399780273438,303.70001220703125,626.864990234375,,253.05999755859375,211.21499633789062,303.9599914550781,626.8699951171875,,252.1300048828125,209.6699981689453,303.03948974609375,623.4000244140625,,252.94000244140625,209.89999389648438,303.3450012207031,625.52001953125,,1544256,2256442,656468,0,
2026-03-16 18:30:00+00:00,,252.86199951171875,212.3800048828125,304.94000244140625,627.5150146484375,,253.44000244140625,212.7239990234375,305.0299987792969,628.639892578125,,252.27000427246094,210.9199981689453,303.614990234375,625.6900024414062,,252.9219970703125,211.0,303.67498779296875,626.8499755859375,,1954982,3948226,995230,4982823,
2026-03-16 19:30:00+00:00,,252.77999877929688,211.75999450683594,304.42999267578125,627.6300048828125,,253.05999755859375,212.4499969482422,305.05999755859375,628.2100219726562,,252.11000061035156,211.10000610351562,303.8999938964844,626.655029296875,,252.83999633789062,212.35000610351562,304.8949890136719,627.4299926757812,,2287594,15202768,4746102,0,
2026-03-17 13:30:00+00:00,,254.44000244140625,213.68499755859375,305.93499755859375,630.0549926757812,,255.0749969482422,214.8350067138672,306.3999938964844,636.5499877929688,,252.17999267578125,212.42999267578125,304.3699951171875,628.0,,253.07850646972656,212.88499450683594,304.6499938964844,628.530029296875,,3494086,5682256,1699887,1794589,
2026-03-17 14:30:00+00:00,,254.1699981689453,213.889892578125,305.32000732421875,625.3900146484375,,254.9499969482422,214.2899932861328,306.6700134277344,631.0,,253.80079650878906,213.24000549316406,305.2803039550781,625.239990234375,,254.47999572753906,213.69000244140625,305.94000244140625,629.833984375,,1412006,6093312,948770,750779,
2026-03-17 15:30:00+00:00,,254.86000061035156,213.6699981689453,307.07000732421875,625.52001953125,,255.12989807128906,214.1300048828125,307.489990234375,627.030029296875,,253.66000366210938,213.00999450683594,305.0899963378906,624.530029296875,,254.14999389648438,213.88999938964844,305.3599853515625,625.1699829101562,,1738870,0,981602,2227361,
2026-03-17 16:30:00+00:00,,253.9199981689453,213.6649932861328,306.7300109863281,624.5599975585938,,255.02999877929688,214.52999877929688,307.29998779296875,625.97998046875,,253.55999755859375,213.47000122070312,306.45001220703125,623.6599731445312,,254.8699951171875,213.6750030517578,307.0199890136719,625.4400024414062,,6074290,1837148,692089,0,
2026-03-17 17:30:00+00:00,,254.10000610351562,213.5399932861328,308.0899963378906,623.3699951171875,,254.6300048828125,214.1750030517578,308.3800048828125,626.4000244140625,,253.88499450683594,213.41000366210938,306.625,623.2999877929688,,253.91000366210938,213.66000366210938,306.7099914550781,624.510009765625,,0,2235475,887576,403825,
